ROI Label,ROI Name,R,A,S,Hemisphere,Network,Region,Member,Color
289,17Networks_RH_SalVentAttnA_Ins_1,40,6,-16,RH,SalVentAttnA,Ins,1,black
292,17Networks_RH_SalVentAttnA_Ins_4,40,-2,6,RH,SalVentAttnA,Ins,4,black
291,17Networks_RH_SalVentAttnA_Ins_3,40,-10,-4,RH,SalVentAttnA,Ins,3,black
290,17Networks_RH_SalVentAttnA_Ins_2,40,8,-2,RH,SalVentAttnA,Ins,2,black
301,17Networks_RH_SalVentAttnA_ParMed_4,10,-32,50,RH,SalVentAttnA,ParMed,4,black
300,17Networks_RH_SalVentAttnA_ParMed_3,10,-44,54,RH,SalVentAttnA,ParMed,3,black
299,17Networks_RH_SalVentAttnA_FrMed_2,6,10,58,RH,SalVentAttnA,FrMed,2,black
302,17Networks_RH_SalVentAttnA_FrMed_3,6,-2,66,RH,SalVentAttnA,FrMed,3,black
297,17Networks_RH_SalVentAttnA_ParMed_1,12,-18,42,RH,SalVentAttnA,ParMed,1,black
298,17Networks_RH_SalVentAttnA_ParMed_2,12,-34,42,RH,SalVentAttnA,ParMed,2,black
295,17Networks_RH_SalVentAttnA_FrOper_3,54,12,12,RH,SalVentAttnA,FrOper,3,black
294,17Networks_RH_SalVentAttnA_FrOper_2,48,4,4,RH,SalVentAttnA,FrOper,2,black
293,17Networks_RH_SalVentAttnA_FrOper_1,38,8,10,RH,SalVentAttnA,FrOper,1,black
296,17Networks_RH_SalVentAttnA_FrMed_1,8,2,42,RH,SalVentAttnA,FrMed,1,black
303,17Networks_RH_SalVentAttnA_FrMed_4,16,6,70,RH,SalVentAttnA,FrMed,4,black
310,17Networks_RH_SalVentAttnB_Ins_2,36,22,4,RH,SalVentAttnB,Ins,2,black
311,17Networks_RH_SalVentAttnB_PFCmp_1,8,34,24,RH,SalVentAttnB,PFCmp,1,black
312,17Networks_RH_SalVentAttnB_PFCmp_2,8,18,36,RH,SalVentAttnB,PFCmp,2,black
309,17Networks_RH_SalVentAttnB_Ins_1,34,22,-8,RH,SalVentAttnB,Ins,1,black
308,17Networks_RH_SalVentAttnB_PFCl_3,32,44,28,RH,SalVentAttnB,PFCl,3,black
307,17Networks_RH_SalVentAttnB_PFCl_2,26,54,24,RH,SalVentAttnB,PFCl,2,black
306,17Networks_RH_SalVentAttnB_PFCl_1,42,46,14,RH,SalVentAttnB,PFCl,1,black
105,17Networks_LH_SalVentAttnB_Ins_2,-32,24,0,LH,SalVentAttnB,Ins,2,black
108,17Networks_LH_SalVentAttnB_PFCmp_1,-6,22,32,LH,SalVentAttnB,PFCmp,1,black
107,17Networks_LH_SalVentAttnB_OFC_1,-26,50,-14,LH,SalVentAttnB,OFC,1,black
104,17Networks_LH_SalVentAttnB_Ins_1,-34,16,-8,LH,SalVentAttnB,Ins,1,black
106,17Networks_LH_SalVentAttnB_Ins_3,-44,12,2,LH,SalVentAttnB,Ins,3,black
101,17Networks_LH_SalVentAttnB_PFCl_1,-38,50,10,LH,SalVentAttnB,PFCl,1,black
102,17Networks_LH_SalVentAttnB_PFCl_2,-28,44,30,LH,SalVentAttnB,PFCl,2,black
103,17Networks_LH_SalVentAttnB_PFCl_3,-36,32,38,LH,SalVentAttnB,PFCl,3,black
304,17Networks_RH_SalVentAttnB_IPL_1,62,-38,36,RH,SalVentAttnB,IPL,1,black
305,17Networks_RH_SalVentAttnB_PFClv_1,50,40,6,RH,SalVentAttnB,PFClv,1,black
232,17Networks_RH_SomMotA_9,30,-40,64,RH,SomMotA,SomMotA,9,orange
30,17Networks_LH_SomMotA_6,-8,-38,54,LH,SomMotA,SomMotA,6,orange
228,17Networks_RH_SomMotA_5,6,-10,52,RH,SomMotA,SomMotA,5,orange
227,17Networks_RH_SomMotA_4,50,-26,56,RH,SomMotA,SomMotA,4,orange
226,17Networks_RH_SomMotA_3,44,-10,48,RH,SomMotA,SomMotA,3,orange
